类别,场所名,地址,人均,评分,是否推荐,推荐理由
西餐,乐班Le'ban(江宁金鹰店),双龙大道1688号金鹰1F,¥100,4.5,✅,轻西餐不过于正式·金鹰一楼方便好找
西餐,南京金鹰尚美酒店·尚美西餐厅,金鹰5F,¥98,4.4,❌,备选
西餐,悠仙美地(软件大道店),软件大道蓝筹谷106号,¥101,4.4,❌,不在推荐区域·备选
西餐,奶酪时光休闲西餐厅(托乐嘉店),胜太西路166-1号,¥28,4.0,❌,评分偏低
影院,幸福蓝海国际影城(金鹰4F),金鹰天地4F,¥32,4.5,✅,同一栋楼电梯直达
影院,CGV影城(南京百家湖店),景枫中心3F,¥76,4.5,❌,备选
影院,AMG海上明珠影城(雨花客厅IMAX),E-PARK购物中心3层,¥46,4.6,❌,不在推荐区域·IMAX更佳
清吧,PLUTO(江宁店),双龙大道1680号1912街区9号楼,¥112,4.6,✅,评分高·看完电影聊剧情
清吧,RedRoom虹房西餐酒吧,百家湖1912-10幢,¥81,4.4,❌,备选
清吧,YOLO悠乐清吧(紫悦广场店),安德门大街32号,¥48,4.3,❌,不在推荐区域
